sentence_id_2,sentence_id_1,sentence_text_2,argument_id_2,sentence_text_1,argument_id_1,score
S0022931007p,B1004002p,A long-term commitment to the Revenue would demonstrate confidence in William's ability to uphold the religion and laws,S0022931,This form of governance is rooted in the structure seen in both the Old and New Testaments,B1004,0.9083914720182058
S0022862004p,B0331004p,It is essential to recognize that the laws enacted against Catholicism and the oaths of allegiance were established in a context where King James II's abdication was not anticipated,S0022862,Certain subsidies may be reasonable if agreed upon by the people,B0331,0.9239409443445983
S0020662001p,B0967004p,The necessity for the House of Lords to align the timing of their decisions with the coherence of the Exclusion Bill is paramount to ensuring the integrity of parliamentary action,S0020662,The Council's authority was deemed 'sacred' and was invoked when the king's actions were seen as detrimental to the common good,B0967,0.9165212058701072
S0010739001p,B1196004p,It is unacceptable for Mr. Brunkard to be in close proximity to King Charles II and to receive a letter from him after having faced displeasure from this House,S0010739,The exhortation to execute judgment and righteousness highlights the responsibilities of rulers,B1196,0.9191532936848901
S0023550001sc,B0736002sc,Parliament must introduce a bill to address injustices faced by the Commons,S0023550,The commonwealth's integrity is restored in response to evident and incurable tyranny,B0736,0.5578812217005031
B0843005p,B0155002p,Such usurpation harms the subjects themselves,B0843,"The Plebeians constituted the majority of the population and were the backbone of the Roman military, providing the necessary manpower for conquests and defense",B0155,0.6504777926210383
S0020794006p,B1154004p,Preventing a Catholic from inheriting the crown would challenge the Protestant faith,S0020794,Non-elected monarchs often rule over less willing subjects with laws that serve the interests of the monarch rather than the populace,B1154,0.9239276865681342
S0018074010p,B0464004p,Mobilizing the Militia would provide greater security for the monarchy and the nation,S0018074,"The Archon's acceptance of his role as a standing general, despite the potential for conflict, indicates that the security of the commonwealth often necessitates strong leadership and decisive action",B0464,0.8003569857350438
B1113006p,B0801007p,One cannot claim a natural right to preserve oneself while simultaneously seeking to undermine the authority that protects them,B1113,"The nature of the power is communicative, as it is shared and not wholly transferred",B0801,0.9234693219184305
S0019145001p,B0794010p,The Parliament should postpone the decision regarding the Duke of York's withdrawal from King Charles II's presence until the effects of the King's Proclamation against Papists can be assessed,S0019145,King Charles violated the trust placed in him by the people,B0794,0.7022612344369867
B0529001sc,B0258002sc,The validity of a ruler's claim to power does not depend on the consent of the people,B0529,Sovereign power requires the active participation of the people,B0258,0.6388203985317069
S0020773002sc,B0698002sc,maintaining stability in England,S0020773,The provincial head's decision-making authority relies on the collaboration of the provincial orders,B0698,0.46216785795975807
S0018647010p,B0104001p,The Chancellor's accusation shifts blame away from those who have mismanaged the situation,S0018647,Individuals are not born into a state of perpetual slavery without the possibility of wisdom being useful,B0104,0.9101864677520597
S0024095002sc,B0301001sc,Careful consideration protects the rights and liberties gained during the Glorious Revolution,S0024095,Legislative power originates from the populace,B0301,0.6577763886506739
B0794009p,B0567006p,"King Charles engaged in deceitful practices, such as secretly raising an army against Parliament",B0794,Parliament operates under the king's authority rather than above it,B0567,0.9238938732172464
B0721003p,B0283001p,"By interpreting and enforcing these fundamental laws, the magistrate not only safeguards the liberties of the people but also promotes respect for the law, which is vital for a thriving commonwealth",B0721,The punishment for crimes committed by a Prince should not fall upon the innocent people,B0283,0.6388203985317069
S0023292001sc,B0661001sc,Parliament should vote on William of Orange's commendation,S0023292,Increasing the authority of bishops is essential for protecting the public good,B0661,0.9222132875652979
S0023562002sc,B1037001sc,Parliament should vote on the judgment to protect individual rights from monarchical power,S0023562,Men establish sovereign authority to reduce threats from each other,B1037,0.9155525386097884
