sentence_id_1,sentence_id_2,sentence_text_1,sentence_text_2,argument_id_1,argument_id_2
B1080001p,B1026003p,Private individuals do not have the right to judge good and evil actions in a Commonwealth,"Sovereignty can only reside in one individual, in an assembly of all individuals, or in an assembly of a select group",B1080,B1026
S0019929001sc,B0464002sc,Parliament must adhere to established laws,preserving community safety,S0019929,B0464
B0587003p,B0476001p,"The act of condemning a king without a legitimate trial or due process is portrayed as a crime, akin to robbery or murder, rather than a lawful judgment","According to Filmer's doctrine, there is a belief that all men are born slaves",B0587,B0476
S0024115003p,B0536006p,Safeguarding the integrity of the political system is important,"This principle holds true regardless of the level of authority, as even subordinate magistrates can be opposed if they act unlawfully",S0024115,B0536
B0580006p,B0399005p,"Without the king's approval, proposed acts do not have the force of law","True sovereignty cannot be shared or communicated to subjects, as this would undermine the very nature of sovereignty itself",B0580,B0399
S0051842008p,B0289003p,The legitimacy of our political system relies on the active participation and acknowledgment of all its members,"Historical experiences demonstrate that individuals in power are often subject to the same passions and vices as anyone else, which can lead to unjust decisions",S0051842,B0289
S0020686007p,B0713007p,Prioritizing accountability and oversight can safeguard the interests of the nation,The magistrate's power is not absolute but rather accountable to the principles of justice and the welfare of the subjects,S0020686,B0713
S0010799006p,B0238006p,"Without such accountability, the risk of undermining the stability of the nation increases","A system of checks and balances, where the Parliament and the people retain the ability to question and correct the actions of the King, is crucial",S0010799,B0238
B0375010p,B0272006p,A king must be held to the same standards of justice that apply to all individuals,The authority of the magistrate is derived from the consent of the governed,B0375,B0272
B0195003p,B0138004p,"A King is not above the law; rather, he is its servant and must govern according to it","The notion that a ruler can claim legitimacy through succession, conquest, or usurpation is flawed",B0195,B0138
B0813005p,B0127001p,"The specific structure of government, whether it be a single ruler, a few elite, or a collective body, is a product of human constitution",It is not possible for a multitude to raise a new commonwealth without being subject to any established law,B0813,B0127
S0004648005p,B0272006p,"No one, regardless of their status, is above the law",The authority of the magistrate is derived from the consent of the governed,S0004648,B0272
B0566007p,B0400002p,The distinction between a king and other magistrates is crucial,"Sovereign princes, as the highest authority, possess the exclusive right to create and enforce laws, which is fundamental to their role in governing",B0566,B0400
B1053003p,B0784006p,Individuals can obtain their rights through the sovereign power,Kings derive their power from the consent of the governed,B1053,B0784
B0789007p,B0299007p,"If the king's rule leads to oppression or undermines the principles of justice and freedom, it is necessary to question and potentially dismantle that authority for the greater good of society","The relationship between the people and their Delegates is one of delegation of authority, not the creation of power in isolation",B0789,B0299
B0348001p,B0118002p,The officers of the kingdom are accountable to the people,The authority of rulers does not derive from the same foundational rights as parental authority,B0348,B0118
B0804006p,B0614003p,"The moral law, as articulated in scripture, commands respect for authority",A king's authority is derived from God,B0804,B0614
B0754002sc,B0286001sc,Kings must be accountable to the will of the people,People must maintain the power to hold leaders accountable,B0754,B0286
B0663003sc,B0512002sc,A king must ensure kingdom stability,The executive must uphold legitimacy,B0663,B0512
B1160001sc,B0206003sc,A principate governed by law is more likely to endure,Governance prevents tyranny,B1160,B0206
B0250002sc,B0179001sc,the idea that they act solely for themselves is fundamentally flawed,Rulers' actions are limited by legal frameworks,B0250,B0179
B0951001sc,B0937003sc,The States of the Kingdom maintained their power in governance following Pipin's death,The constitution of the Francogallian government integrates popular governance,B0951,B0937
B0752001p,B0169006p,All nations do have the liberty to choose their form of government,Any authority that governments possess is a reflection of that collective agreement,B0752,B0169
B0663002p,B0286008p,A king's power and authority are best confirmed through moderation and adherence to the laws that govern his realm,Governance must align with the principles of liberty and the common good,B0663,B0286
B0800009p,B0345005p,This perspective emphasizes that power originates with the community,This reminds kings that their power is derived from the collective will of the populace rather than an inherent superiority,B0800,B0345
S0010692011p,B0534004p,Placing divine authority above the rule of law could lead to further unrest,The essence of a rightful king's duty is to uphold the laws and protect the properties and welfare of his people,S0010692,B0534
S0023935007p,B0370006p,It is imperative that we address these issues decisively to ensure a secure environment for all citizens,The safety and welfare of the people cannot depend on the whims of a ruler,S0023935,B0370
B0278001p,B0139004p,Allowing a King to have absolute power over Parliament is not justifiable,Each kingdom operates under its own specific laws that define the extent of royal power,B0278,B0139
B0616002sc,B0110001sc,the obligation to obey him ends,A government that neglects its people's welfare loses legitimacy,B0616,B0110
B0695004p,B0109009p,The community holds the power to appoint and remove its leaders,"When the people's right to have a say in their governance is disregarded, the government loses its rightful claim to authority",B0695,B0109
S0020682003sc,B0794001sc,Parliament must ensure accountability,King Charles' actions as a ruler were unjustified,S0020682,B0794
S0053164001sc,B0737002sc,Leaders must commit to upholding justice in governance,A monarch's power is limited by justice,S0053164,B0737
S0023652003p,B0297006p,This inquiry is essential to uphold the principles of constitutional governance established after the Glorious Revolution,The nation is exposed to potential ruin if that power falls into the wrong hands,S0023652,B0297
B0316002sc,B0239001sc,An absolute monarchy without the consent of the governed can result in oppression,Annual Parliaments ensure government responsiveness to public needs,B0316,B0239
S0024095006p,B0159002p,The governance of England must remain just and representative of the people's will,True governance requires the consent and involvement of the governed,S0024095,B0159
B1197003sc,B0809002sc,Rulers must maintain societal order,Christ is the ultimate ruler over all kingdoms,B1197,B0809
B0534004p,B0171007p,The essence of a rightful king's duty is to uphold the laws and protect the properties and welfare of his people,Legitimate authority stems from the consent of the governed,B0534,B0171
